     X       NACA0012-Re= 2880000-Alpha=15.00         X       NACA0012-Re= 2880000-Alpha=10.00         X       NACA0012-Re= 2880000-Alpha= 5.00         X       NACA0012-Re= 2880000-Alpha= 0.00    
    0.1340678         -2.226558      0.1340678         -1.655966      0.1340678        -0.9811579      0.1340678        -0.4119496  
    0.1224651         -2.359998      0.1224651         -1.740206      0.1224651         -1.017264      0.1224651        -0.4132698  
    0.1111019         -2.510206      0.1111019         -1.834469      0.1111019         -1.056906      0.1111019        -0.4138329  
     0.100044         -2.677034       0.100044         -1.937527       0.100044         -1.098144       0.100044        -0.4120499  
   0.08935551          -2.86063     0.08935551         -2.048294     0.08935551         -1.138957     0.08935551        -0.4070024  
    0.0791445         -3.073548      0.0791445         -2.176776      0.0791445         -1.185538      0.0791445        -0.4026648  
   0.06955083         -3.330119     0.06955083         -2.334178     0.06955083         -1.243596     0.06955083        -0.4008418  
   0.06070771         -3.594707     0.06070771         -2.488549     0.06070771         -1.287243     0.06070771        -0.3868865  
   0.05271999         -3.836226     0.05271999         -2.614349     0.05271999         -1.306006     0.05271999        -0.3544218  
   0.04560946         -4.107529     0.04560946         -2.756784     0.04560946         -1.417943     0.04560946        -0.3251743  
   0.03927416         -4.486169     0.03927416         -2.976407     0.03927416         -1.521337     0.03927416        -0.3195217  
   0.03358429         -5.054318     0.03358429         -3.329406     0.03358429         -1.623273     0.03358429        -0.3381432  
   0.02851877         -5.620725     0.02851877         -3.652497     0.02851877         -1.728748     0.02851877        -0.3296925  
    0.0241351         -6.075913      0.0241351         -3.873646      0.0241351         -1.781293      0.0241351        -0.2808488  
   0.02039922         -6.416384     0.02039922         -4.024202     0.02039922         -1.780453     0.02039922        -0.2039546  
   0.01721335         -6.708392     0.01721335         -4.243026     0.01721335         -1.757256     0.01721335        -0.1181479  
   0.01450156         -7.001514     0.01450156         -4.383815     0.01450156          -1.73189     0.01450156       -0.03380637  
   0.01218043         -7.299728     0.01218043         -4.490437     0.01218043         -1.706559     0.01218043        0.04861898  
   0.01017723         -7.605553     0.01017723         -4.610793     0.01017723         -1.680509     0.01017723         0.1299681  
   0.00843643         -7.954285     0.00843643         -4.738242     0.00843643         -1.652108     0.00843643         0.2112011  
  0.006917496         -8.525156    0.006917496         -4.869252    0.006917496         -1.619398    0.006917496         0.2930502  
  0.005590631         -9.169987    0.005590631         -5.000243    0.005590631         -1.580132    0.005590631           0.37596  
  0.004433691         -9.437306    0.004433691         -5.126452    0.004433691         -1.531718    0.004433691         0.4600402  
  0.003430144         -9.739682    0.003430144         -5.241341    0.003430144         -1.471171    0.003430144         0.5449881  
  0.002567669         -10.06339    0.002567669         -5.336073    0.002567669         -1.395098    0.002567669         0.6299734  
  0.001837221         -10.37686    0.001837221         -5.399042    0.001837221         -1.299769    0.001837221         0.7134939  
  0.001232401         -10.64141    0.001232401         -5.415573    0.001232401         -1.181347    0.001232401         0.7932159  
 0.0007490465         -10.81507   0.0007490465         -5.368022   0.0007490465          -1.03634   0.0007490465         0.8658656  
 0.0003850025         -10.85199   0.0003850025         -5.236663   0.0003850025        -0.8622498   0.0003850025         0.9272388  
 0.0001400148         -10.70174   0.0001400148         -5.001354   0.0001400148        -0.6590059   0.0001400148         0.9724922  
 1.576134e-05         -10.30833   1.576134e-05         -4.640934   1.576134e-05        -0.4283955   1.576134e-05         0.9968471  
 1.576134e-05         -9.593459   1.576134e-05         -4.127213   1.576134e-05        -0.1731297   1.576134e-05         0.9968471  
 0.0001400148         -8.622887   0.0001400148         -3.507682   0.0001400148        0.08345423   0.0001400148         0.9724922  
 0.0003850025          -7.55675   0.0003850025         -2.868571   0.0003850025         0.3157096   0.0003850025         0.9272388  
 0.0007490465         -6.478617   0.0007490465          -2.25236   0.0007490465         0.5135718   0.0007490465         0.8658656  
  0.001232401         -5.445772    0.001232401         -1.685534    0.001232401         0.6738784    0.001232401         0.7932159  
  0.001837221         -4.491476    0.001837221         -1.181125    0.001837221         0.7971935    0.001837221         0.7134939  
  0.002567669         -3.631802    0.002567669        -0.7431415    0.002567669         0.8872118    0.002567669         0.6299734  
  0.003430144         -2.871068    0.003430144        -0.3698788    0.003430144         0.9478365    0.003430144         0.5449881  
  0.004433691         -2.206334    0.004433691       -0.05654113    0.004433691         0.9837957    0.004433691         0.4600402  
  0.005590631         -1.630656    0.005590631         0.2031655    0.005590631         0.9989284    0.005590631           0.37596  
  0.006917496         -1.135291    0.006917496          0.415618    0.006917496         0.9968293    0.006917496         0.2930502  
   0.00843643        -0.7110801     0.00843643         0.5872206     0.00843643          0.980223     0.00843643         0.2112011  
   0.01017723        -0.3492213     0.01017723         0.7231261     0.01017723         0.9513626     0.01017723         0.1299681  
   0.01218043        -0.0418167     0.01218043         0.8284047     0.01218043         0.9114988     0.01218043        0.04861898  
   0.01450156         0.2181221     0.01450156         0.9063213     0.01450156         0.8617337     0.01450156       -0.03380637  
   0.01721335         0.4357997     0.01721335           0.95996     0.01721335         0.8021199     0.01721335        -0.1181479  
   0.02039922         0.6151869     0.02039922         0.9907092     0.02039922         0.7333709     0.02039922        -0.2039546  
    0.0241351           0.75915      0.0241351         0.9999744      0.0241351          0.658977      0.0241351        -0.2808488  
   0.02851877          0.868735     0.02851877          0.989728     0.02851877         0.5876791     0.02851877        -0.3296925  
   0.03358429         0.9419604     0.03358429         0.9650546     0.03358429         0.5298406     0.03358429        -0.3381432  
   0.03927416         0.9820717     0.03927416         0.9331565     0.03927416         0.4874373     0.03927416        -0.3195217  
   0.04560946          0.998244     0.04560946         0.8948748     0.04560946         0.4376053     0.04560946        -0.3251743  
   0.05271999         0.9981391     0.05271999         0.8494526     0.05271999         0.3785578     0.05271999        -0.3544218  
   0.06070771          0.984768     0.06070771         0.7990232     0.06070771         0.3190495     0.06070771        -0.3868865  
   0.06955083         0.9614287     0.06955083         0.7490541     0.06955083         0.2708112     0.06955083        -0.4008418  
    0.0791445         0.9317906      0.0791445         0.7017931      0.0791445         0.2320818      0.0791445        -0.4026648  
   0.08935551         0.8982166     0.08935551         0.6552957     0.08935551         0.1945764     0.08935551        -0.4070024  
     0.100044         0.8625175       0.100044         0.6108003       0.100044         0.1596199       0.100044        -0.4120499  
    0.1111019         0.8267698      0.1111019         0.5700161      0.1111019         0.1298578      0.1111019        -0.4138329  
    0.1224651         0.7916928      0.1224651         0.5327311      0.1224651          0.104359      0.1224651        -0.4132698  
    0.1340678          0.757713      0.1340678         0.4983066      0.1340678        0.08169935      0.1340678        -0.4119496  
    0.1458536         0.7252036      0.1458536         0.4667949      0.1458536        0.06186961      0.1458536        -0.4096014  
    0.1577895         0.6943447      0.1577895         0.4380042      0.1577895        0.04457043      0.1577895        -0.4063515  
    0.1698496         0.6650967      0.1698496         0.4115845      0.1698496        0.02932879      0.1698496        -0.4025339  
    0.1820117         0.6374876      0.1820117          0.387389      0.1820117        0.01599995      0.1820117        -0.3981059  
    0.1942628         0.6115031      0.1942628         0.3652751      0.1942628       0.004447988      0.1942628        -0.3930538  
    0.2065925         0.5870051      0.2065925         0.3449549      0.2065925      -0.005665871      0.2065925        -0.3876287  
     0.218989         0.5638873       0.218989         0.3262243       0.218989       -0.01455595       0.218989        -0.3819552  
    0.2314433         0.5420863      0.2314433         0.3089645      0.2314433       -0.02232053      0.2314433        -0.3760468  
    0.2439493         0.5215404      0.2439493         0.2930743      0.2439493       -0.02903731      0.2439493        -0.3699176  
    0.2565026           0.50217      0.2565026         0.2784364      0.2565026       -0.03480997      0.2565026        -0.3636412  
    0.2690982         0.4838609      0.2690982         0.2648935      0.2690982       -0.03979666      0.2690982        -0.3573905  
    0.2817313         0.4665516      0.2817313         0.2523656      0.2817313       -0.04405789      0.2817313        -0.3513187  
    0.2943994         0.4501937      0.2943994         0.2407925      0.2943994       -0.04763457      0.2943994        -0.3457705  
    0.3070989         0.4346629      0.3070989         0.2300187      0.3070989       -0.05068668      0.3070989        -0.3419796  
    0.3198247          0.419922      0.3198247         0.2200054      0.3198247       -0.05322955      0.3198247        -0.3384522  
    0.3325772         0.4060265      0.3325772         0.2108282      0.3325772       -0.05514888      0.3325772        -0.3097794  
    0.3453564         0.3927998      0.3453564         0.2022721      0.3453564       -0.05667998      0.3453564        -0.2964673  
    0.3581563         0.3801462      0.3581563         0.1942294      0.3581563        -0.0579255      0.3581563         -0.291435  
    0.3709754         0.3681544      0.3709754         0.1868149      0.3709754       -0.05873426      0.3709754        -0.2871264  
    0.3838145         0.3567206      0.3838145         0.1799091      0.3838145       -0.05922802      0.3838145        -0.2821063  
    0.3966698          0.345755      0.3966698         0.1734138      0.3966698       -0.05950026      0.3966698        -0.2764804  
    0.4095403         0.3353468      0.4095403         0.1674402      0.4095403       -0.05941374      0.4095403        -0.2701736  
    0.4224278         0.3254013      0.4224278         0.1618825      0.4224278        -0.0590759      0.4224278        -0.2635214  
    0.4353288         0.3157908      0.4353288         0.1566009      0.4353288        -0.0586267      0.4353288          -0.25684  
    0.4482403         0.3065911      0.4482403         0.1516891      0.4482403        -0.0579532      0.4482403        -0.2499601  
    0.4611634         0.2977945      0.4611634         0.1471427      0.4611634       -0.05705099      0.4611634        -0.2429096  
    0.4740987         0.2893523      0.4740987         0.1429121      0.4740987       -0.05596616      0.4740987        -0.2357749  
    0.4870444         0.2811777      0.4870444         0.1389065      0.4870444       -0.05478587      0.4870444        -0.2286994  
    0.4999975         0.2732658      0.4999975         0.1351273      0.4999975       -0.05349952      0.4999975        -0.2216537  
    0.5129584         0.2656911      0.5129584         0.1316604      0.5129584       -0.05201295      0.5129584        -0.2144687  
    0.5259286         0.2583829      0.5259286         0.1284333      0.5259286       -0.05039513      0.5259286        -0.2072618  
    0.5389069         0.2512869      0.5389069         0.1253926      0.5389069       -0.04869595      0.5389069        -0.2000974  
    0.5518912         0.2443679      0.5518912         0.1225066      0.5518912       -0.04694151      0.5518912        -0.1930018  
    0.5648801         0.2376534      0.5648801         0.1198102      0.5648801        -0.0450927      0.5648801        -0.1858943  
    0.5778741         0.2311554      0.5778741         0.1173208      0.5778741       -0.04312945      0.5778741        -0.1787324  
    0.5908739         0.2248478      0.5908739         0.1150158      0.5908739       -0.04107315      0.5908739        -0.1715382  
    0.6038789         0.2186627      0.6038789         0.1128305      0.6038789       -0.03898525      0.6038789        -0.1643962  
    0.6168856         0.2125628      0.6168856         0.1107348      0.6168856       -0.03689294      0.6168856        -0.1573333  
    0.6298938         0.2066561      0.6298938         0.1088437      0.6298938       -0.03469217      0.6298938        -0.1501479  
    0.6429056         0.2008999      0.6429056         0.1071206      0.6429056        -0.0324242      0.6429056         -0.142894  
    0.6559194         0.1952327      0.6559194         0.1055119      0.6559194       -0.03015169      0.6559194        -0.1356413  
    0.6689351         0.1897184      0.6689351         0.1040862      0.6689351       -0.02783987      0.6689351        -0.1282637  
    0.6819542         0.1842838      0.6819542         0.1027792      0.6819542       -0.02559258      0.6819542        -0.1208482  
    0.6949722         0.1788267      0.6949722         0.1015041      0.6949722       -0.02356992      0.6949722        -0.1135089  
    0.7079881         0.1735382      0.7079881         0.1004527      0.7079881       -0.02177816      0.7079881        -0.1059375  
    0.7210062          0.168374      0.7210062        0.09959232      0.7210062        -0.0206934      0.7210062       -0.09818204  
    0.7340239         0.1631637      0.7340239        0.09877737      0.7340239       -0.02175758      0.7340239       -0.09044341  
     0.747038         0.1580378       0.747038        0.09814306       0.747038       -0.01187412       0.747038       -0.08249987  
    0.7600509         0.1530186      0.7600509        0.09772525      0.7600509       0.003912237      0.7600509       -0.07429261  
    0.7730633         0.1480414      0.7730633         0.0974827      0.7730633        0.01179996      0.7730633       -0.06586883  
     0.786074         0.1430728       0.786074        0.09740638       0.786074        0.01489348       0.786074       -0.05722091  
    0.7990815         0.1380914      0.7990815        0.09750342      0.7990815        0.01705583      0.7990815       -0.04831746  
    0.8120834         0.1330849      0.8120834        0.09779688      0.8120834        0.01953207      0.8120834       -0.03910655  
    0.8250795         0.1281589      0.8250795         0.0984135      0.8250795        0.02275732      0.8250795        -0.0293919  
     0.838074         0.1233073       0.838074        0.09938758       0.838074        0.02675346       0.838074       -0.01910513  
    0.8510637         0.1182674      0.8510637         0.1005637      0.8510637        0.03113414      0.8510637      -0.008430802  
    0.8640418         0.1131721      0.8640418         0.1021218      0.8640418        0.03615168      0.8640418       0.002920974  
    0.8770092         0.1081144      0.8770092         0.1042208      0.8770092        0.04200501      0.8770092        0.01520474  
    0.8899632         0.1029197      0.8899632         0.1068427      0.8899632        0.04855856      0.8899632        0.02844407  
     0.902891        0.09750976       0.902891         0.1100786       0.902891        0.05589309       0.902891        0.04283442  
    0.9157699        0.09181042      0.9157699         0.1140679      0.9157699        0.06415978      0.9157699        0.05865952  
    0.9285636        0.08574241      0.9285636         0.1189879      0.9285636        0.07359284      0.9285636        0.07631018  
    0.9411976        0.07921531      0.9411976         0.1249884      0.9411976        0.08451045      0.9411976        0.09627492  
    0.9535273        0.07213537      0.9535273         0.1320017      0.9535273        0.09729839      0.9535273         0.1190835  
    0.9653693         0.0643892      0.9653693         0.1394136      0.9653693         0.1124074      0.9653693         0.1452611  
    0.9764595        0.05631305      0.9764595         0.1458992      0.9764595         0.1306083      0.9764595         0.1753606  
    0.9863841        0.05334344      0.9863841         0.1501844      0.9863841         0.1549349      0.9863841         0.2095248  
    0.9949608        0.06387545      0.9949608         0.1925772      0.9949608         0.1868596      0.9949608         0.2476993  
            1        0.09077853              1         0.2198752              1         0.2822609              1         0.2928386  

